Identificador único del municipio,Clave de entidad federativa,Entidad federativa,Clave de municipio o delegación,Municipio o delegación,Estimador_x,Porcentaje de población de 20 años y más con obesidad.,Porcentaje de población de 20 años y más con diagnóstico previo de hipertensión.,Porcentaje de población de 20 años y más con diagnóstico previo de diabetes.,Municipio,Estimador_y,Ingreso Corriente Promedio Trimestral por Hogar 2020,Codigo,Total,municipio,entidad,Big,Medium,Small,Total_Pharmacies,Pharmacy_Density_per_100k,CVEGEO,Big_Pharmacy_Ratio,Medium_Pharmacy_Ratio,Total_Trimestral_Income,Income_per_Big_Pharmacy
01009,1.0,AGUASCALIENTES,9.0,Tepezalá,Valor,31.953581052365003,14.694738844636547,7.242454178043286,TEPEZALÁ,Valor,39294.0606647019,01 009,22485,TEPEZALÁ,AGUASCALIENTES,1.0,2.0,5.0,8.0,35.5792750722704,1.09.0,4.4474093840338,8.8948187680676,883526954.0458223,8835.269540458223
07093,7.0,CHIAPAS,93.0,Tenejapa,Valor,18.775294746234113,11.54112958759874,6.394847871699739,TENEJAPA,Valor,18318.3549378176,07 093,48162,TENEJAPA,CHIAPAS,1.0,5.0,7.0,13.0,26.992234541754915,7.093.0,2.0763257339811467,10.381628669905735,882248610.5151712,8822.486105151711
14123,14.0,JALISCO,123.0,Zapotlán del Rey,Valor,33.92560529315644,15.738653860904517,8.492583601788182,ZAPOTLÁN DEL REY,Valor,45645.3836146167,14 123,19279,ZAPOTLÁN DEL REY,JALISCO,1.0,4.0,3.0,8.0,41.49592821204419,14.0123.0,5.186991026505524,20.747964106022096,879997350.7061954,8799.973507061954
25003,25.0,SINALOA,3.0,Badiraguato,Valor,38.466440126823485,17.50031621903472,10.678774349786144,BADIRAGUATO,Valor,32914.1806505929,25 003,26542,BADIRAGUATO,SINALOA,1.0,2.0,4.0,7.0,26.37329515484892,25.03.0,3.7676135935498456,7.535227187099691,873608182.8280367,8736.081828280367
29043,29.0,TLAXCALA,43.0,Yauhquemehcan,Valor,33.93055568415006,12.441880860308828,7.717791399085837,YAUHQUEMEHCAN,Valor,41273.6289658971,29 043,42242,YAUHQUEMEHCAN,TLAXCALA,2.0,7.0,3.0,12.0,28.40774584536717,29.043.0,4.734624307561195,16.571185076464182,1743480634.7774253,8717.403173887127
13063,13.0,HIDALGO,63.0,Tepeji del Río de Ocampo,Valor,35.544599557727786,16.008785126178193,11.237044205801826,TEPEJI DEL RÍO DE OCAMPO,Valor,46288.8676992284,13 063,90546,TEPEJI DEL RÍO DE OCAMPO,HIDALGO,5.0,9.0,27.0,41.0,45.28085172177678,13.063.0,5.522055088021558,9.939699158438804,4191271814.694335,8382.54362938867
22002,22.0,QUERÉTARO,2.0,Pinal de Amoles,Valor,17.0392375995099,18.350443200203518,7.287375884804307,PINAL DE AMOLES,Valor,30177.2357702772,22 002,27365,PINAL DE AMOLES,QUERÉTARO,1.0,3.0,1.0,5.0,18.27151470856934,22.02.0,3.654302941713868,10.962908825141604,825800056.8536355,8258.000568536356
14109,14.0,JALISCO,109.0,Unión de San Antonio,Valor,29.42896025221983,16.081595485373846,8.250212413855982,UNIÓN DE SAN ANTONIO,Valor,43246.3714470474,14 109,19069,UNIÓN DE SAN ANTONIO,JALISCO,1.0,3.0,2.0,6.0,31.464680895694585,14.0109.0,5.244113482615764,15.732340447847292,824665057.1237469,8246.65057123747
12028,12.0,GUERRERO,28.0,Chilapa de Álvarez,Valor,29.317429884475725,14.87346376062628,10.245090237546034,CHILAPA DE ÁLVAREZ,Valor,32618.1020532303,12 028,123722,CHILAPA DE ÁLVAREZ,GUERRERO,5.0,10.0,24.0,39.0,31.52228382987666,12.028.0,4.041318439727777,8.082636879455555,4035576822.229759,8071.153644459519
01010,1.0,AGUASCALIENTES,10.0,El Llano,Valor,35.057078571741044,16.55212130102922,7.6496996266396176,EL LLANO,Valor,37946.5495518537,01 010,20853,EL LLANO,AGUASCALIENTES,1.0,2.0,0.0,3.0,14.386419220256078,1.010.0,4.795473073418693,9.590946146837386,791299397.8048052,7912.993978048052
08029,8.0,CHIHUAHUA,29.0,Guadalupe y Calvo,Valor,35.02675979063411,17.02642552494728,7.845185245656422,GUADALUPE Y CALVO,Valor,30973.8603956809,08 029,50514,GUADALUPE Y CALVO,CHIHUAHUA,2.0,4.0,2.0,8.0,15.837193649285346,8.029.0,3.9592984123213366,7.918596824642673,1564613584.0274248,7823.067920137124
21161,21.0,PUEBLA,161.0,Tepanco de López,Valor,28.77132300068365,15.546158137733494,7.914580417400304,TEPANCO DE LÓPEZ,Valor,35188.4380423693,21 161,22218,TEPANCO DE LÓPEZ,PUEBLA,1.0,2.0,2.0,5.0,22.504275812404355,21.0161.0,4.500855162480871,9.001710324961742,781816716.4253612,7818.167164253611
07052,7.0,CHIAPAS,52.0,Las Margaritas,Valor,24.910306082525967,2.7888669959017918,7.549017372245462,LAS MARGARITAS,Valor,21914.7260438772,07 052,141027,LAS MARGARITAS,CHIAPAS,4.0,8.0,9.0,21.0,14.890765598076964,7.052.0,2.8363363043956125,5.672672608791225,3090568069.78987,7726.420174474674
30100,30.0,VERACRUZ DE IGNACIO DE LA LLAVE,100.0,Manlio Fabio Altamirano,Valor,40.170277652403605,24.100582238123277,12.662241063987281,MANLIO FABIO ALTAMIRANO,Valor,32295.4864901402,30 100,23918,MANLIO FABIO ALTAMIRANO,VERACRUZ DE IGNACIO DE LA LLAVE,1.0,2.0,3.0,6.0,25.0857095074839,30.0100.0,4.180951584580651,8.361903169161302,772443445.8711733,7724.434458711733
10007,10.0,DURANGO,7.0,Gómez Palacio,Valor,43.63528707333704,21.29429159764596,13.641559610620732,GÓMEZ PALACIO,Valor,53763.3685146481,10 007,372750,GÓMEZ PALACIO,DURANGO,26.0,47.0,53.0,126.0,33.80281690140845,10.07.0,6.975184439973173,12.608987256874581,20040295613.83508,7707.806005321185
21106,21.0,PUEBLA,106.0,Ocoyucan,Valor,25.950882323670125,13.758392281765104,7.862072169321484,OCOYUCAN,Valor,35950.6385397364,21 106,42669,OCOYUCAN,PUEBLA,2.0,5.0,9.0,16.0,37.49794933089596,21.0106.0,4.687243666361995,11.71810916590499,1533977795.8520124,7669.888979260062
20227,20.0,OAXACA,227.0,San Lorenzo Cacaotepec,Valor,36.54240009067357,18.367565871634515,8.623007252303061,SAN LORENZO CACAOTEPEC,Valor,41757.9632415803,20 227,18339,SAN LORENZO CACAOTEPEC,OAXACA,1.0,4.0,3.0,8.0,43.62288020066525,20.0227.0,5.452860025083156,21.811440100332625,765799287.8873411,7657.992878873411
05017,5.0,COAHUILA DE ZARAGOZA,17.0,Matamoros,Valor,40.0098221970625,22.451804410406712,12.349549253091823,MATAMOROS,Valor,44935.1527385859,05 017,118337,MATAMOROS,COAHUILA DE ZARAGOZA,7.0,11.0,20.0,38.0,32.11168104650279,5.017.0,5.915309666461039,9.29548661872449,5317491169.6260395,7596.415956608628
10016,10.0,DURANGO,16.0,Nombre de Dios,Valor,37.972221216157756,22.719531437548248,11.84246243092097,NOMBRE DE DIOS,Valor,39827.0895280747,10 016,19060,NOMBRE DE DIOS,DURANGO,1.0,1.0,2.0,4.0,20.98635886673662,10.016.0,5.246589716684155,5.246589716684155,759104326.4051038,7591.043264051038
14074,14.0,JALISCO,74.0,San Julián,Valor,30.672783548066572,15.659321313761492,9.358670247552633,SAN JULIÁN,Valor,45043.7163320084,14 074,16792,SAN JULIÁN,JALISCO,1.0,4.0,8.0,13.0,77.41781800857552,14.074.0,5.9552167698904235,23.820867079561694,756374084.6470851,7563.740846470851
15111,15.0,MÉXICO,111.0,Villa de Allende,Valor,29.223372366298868,15.416558945690833,8.37813545876515,VILLA DE ALLENDE,Valor,28381.2807294201,15 111,53275,VILLA DE ALLENDE,MÉXICO,2.0,3.0,3.0,8.0,15.016424213984045,15.0111.0,3.7541060534960113,5.631159080244017,1512012730.859856,7560.06365429928
13059,13.0,HIDALGO,59.0,Tecozautla,Valor,28.432495196862924,16.07271940117359,12.933404946896308,TECOZAUTLA,Valor,39726.4607910344,13 059,38010,TECOZAUTLA,HIDALGO,2.0,4.0,11.0,17.0,44.72507234938174,13.059.0,5.261773217574323,10.523546435148646,1510002774.6672175,7550.013873336087
10032,10.0,DURANGO,32.0,Santiago Papasquiaro,Valor,38.78919152365079,19.871681193243717,11.003100801150941,SANTIAGO PAPASQUIARO,Valor,45843.5520046638,10 032,49207,SANTIAGO PAPASQUIARO,DURANGO,3.0,6.0,12.0,21.0,42.67685491901559,10.032.0,6.09669355985937,12.19338711971874,2255823663.4934916,7519.412211644973
29031,29.0,TLAXCALA,31.0,Tetla de la Solidaridad,Valor,36.04034544927565,14.581097176396565,8.200017000850815,TETLA DE LA SOLIDARIDAD,Valor,42478.8085389326,29 031,35284,TETLA DE LA SOLIDARIDAD,TLAXCALA,2.0,4.0,5.0,11.0,31.175603673052944,29.031.0,5.668291576918717,11.336583153837434,1498822280.4876978,7494.111402438489
30040,30.0,VERACRUZ DE IGNACIO DE LA LLAVE,40.0,Coatzintla,Valor,39.03591013709259,23.044972981567156,11.019353109686138,COATZINTLA,Valor,40720.7954775599,30 040,55016,COATZINTLA,VERACRUZ DE IGNACIO DE LA LLAVE,3.0,4.0,2.0,9.0,16.358877417478553,30.040.0,5.452959139159518,7.270612185546023,2240295283.9934354,7467.650946644784
15093,15.0,MÉXICO,93.0,Tepetlaoxtoc,Valor,36.718747262649856,17.53597090719395,9.894208532374224,TEPETLAOXTOC,Valor,45420.5197581723,15 093,32564,TEPETLAOXTOC,MÉXICO,2.0,7.0,4.0,13.0,39.92138557916718,15.093.0,6.141751627564181,21.496130696474633,1479073805.4051228,7395.369027025614
15010,15.0,MÉXICO,10.0,Apaxco,Valor,34.7934275236171,19.31739122834319,9.184497348671819,APAXCO,Valor,46366.0780427907,15 010,31898,APAXCO,MÉXICO,2.0,8.0,10.0,20.0,62.699855790331675,15.010.0,6.269985579033168,25.079942316132673,1478985157.4089377,7394.925787044688
25017,25.0,SINALOA,17.0,Sinaloa,Valor,40.55172900024234,18.99914725252458,10.940666640634479,SINALOA,Valor,37365.0098372,25 017,78670,SINALOA,SINALOA,4.0,10.0,6.0,20.0,25.422651582560064,25.017.0,5.084530316512012,12.711325791280032,2939505323.892524,7348.763309731309
